sentence,course,program
"Primary and secondary data sources, including field survey techniques.",CRP-513,City and Regional Planning
Topics to be announced in advance by CRP Department.,CRP-472,City and Regional Planning
Study of special issues and problems through field research and other forms of investigation and involvement in an off-campus setting.,CRP-483,City and Regional Planning
Requirements determined prior to individual project through contractual arrangement between the student and the department.,CRP-483,City and Regional Planning
Departmental Off-Campus Study Program guidelines apply.,CRP-483,City and Regional Planning
"Problem recognition, data selection, analysis and synthesis with applications of system design, statistical techniques and symbolic modeling to urban design and regional growth and development policies.",CRP-516,City and Regional Planning
Analysis of the roles of architects and related professionals in urban areas.,ARCH-445,City and Regional Planning
"Emphasis on design reactions to environmental, economic, and technological conditions.",ARCH-445,City and Regional Planning
Introduction of the planning role in reducing greenhouse gas emissions and adapting to climate change.,CRP-440,City and Regional Planning
"Basic climate science, greenhouse gas emissions inventories, politics of climate change, and federal/state policy.",CRP-440,City and Regional Planning
Focus on development and implementation of local climate action plans.,CRP-440,City and Regional Planning
Societal importance of air and water quality and land resources.,ENVE-323,City and Regional Planning
"Pollutant transport and treatment technologies, including the scientific basis for these technologies.",ENVE-323,City and Regional Planning
Local examples of applied pollution control technologies to meet regulatory requirements.,ENVE-323,City and Regional Planning
Advanced continuation of community-based projects defined and initiated in EDES 408.,EDES-410,City and Regional Planning
Introduction to philosophies and theories of urban design.,CRP-448,City and Regional Planning
Holistic comprehension of forces generating the city form.,CRP-448,City and Regional Planning
Exploration of evaluation criteria and critical analysis of the built environment.,CRP-448,City and Regional Planning
"Cultural, economic, political, behavioral, visual, perceptual, and morphological aspects of urban form.",CRP-448,City and Regional Planning
Work experience as a supervised employee in a planning-related agency or private firm.,CRP-409,City and Regional Planning
"Applications of computer-aided manufacturing in architectural design with emphasis on subtractive and additive fabrication methods, material assemblies, and advanced techniques in digital design software.",ARCH-461,City and Regional Planning
Research and problem analysis in planning.,CRP-461,City and Regional Planning
Selection and completion of a project under faculty supervision.,CRP-461,City and Regional Planning
Projects typical of problems addressed in planning practice.,CRP-461,City and Regional Planning
Project results presented in a formal report.,CRP-461,City and Regional Planning
To be completed in two quarters.,CRP-461,City and Regional Planning
Definition/nature of urban design:  a typology of procedures and products.,CRP-204,City and Regional Planning
"Urban design as a field between planning, architecture, and landscape architecture.",CRP-204,City and Regional Planning
Visual assessment and townscape movement.,CRP-204,City and Regional Planning
"Environmental perception, behavior and spatial fit.",CRP-204,City and Regional Planning
Typo-morphology and the architecture of the city.,CRP-204,City and Regional Planning
Study of contemporary urban design through the detailed examination of major city/country case studies.,CRP-402,City and Regional Planning
"Analysis of the cultural, social and political factors influencing the practice of urban design and its major trends in different countries.",CRP-402,City and Regional Planning
Introduction to urban ecology as an organizing framework for addressing environmental problems.,CRP-445,City and Regional Planning
Provides the opportunity to explore an urban ecological research question through quantitative stream assessment and qualitative social survey data collection and analysis.,CRP-445,City and Regional Planning
Analysis of the revenue streams and costs involved in project development.,CRP-315,City and Regional Planning
Impact analysis of costs and revenues on private and public sectors included.,CRP-315,City and Regional Planning
Construction of pro-formas for various project types.,CRP-315,City and Regional Planning
Environmental planning as a field of inquiry and action.,CRP-545,City and Regional Planning
Several parallel streams of knowledge are pursued:  environmental planning theory; ecological process and assessment in human-dominated settings; environmental impact assessment; and the review and application of environmental planning tools.,CRP-545,City and Regional Planning
"A primarily project-based course, intended to aid students who wish to collaborate with the purpose of implementing sustainability principles by developing tools, process or designs, for community-based projects and proposals at various scales of planning, architecture and design of the human environment to address social, environmental and economic issues.",EDES-408,City and Regional Planning
Research and problem analysis in planning.,CRP-462,City and Regional Planning
Selection and completion of a project under faculty supervision.,CRP-462,City and Regional Planning
Projects typical of problems addressed in planning practice.,CRP-462,City and Regional Planning
Project results presented in a formal report.,CRP-462,City and Regional Planning
To be completed in two quarters.,CRP-462,City and Regional Planning
Comparative assessment of planning for international development to improve the quality of life of people in cities and regions around the world.,CRP-428,City and Regional Planning
Critical analysis of theories and practices underlying programs and projects and their pertinence to the United States.,CRP-428,City and Regional Planning
"Collection, organization, and presentation of information and data related to population, housing and employment.",CRP-213,City and Regional Planning
"Analytical applications to estimate population over time, housing demand by type and income and employment by standard classification.",CRP-213,City and Regional Planning
Application of urban economic theory related to jobs and housing.,CRP-213,City and Regional Planning
Continuation of CRP 410.,CRP-411,City and Regional Planning
Application of planning theory and methods to the analysis and creation of community plans.,CRP-411,City and Regional Planning
"Interrelationships in the natural and built environments related to land use, circulation, social and other conditions.",CRP-411,City and Regional Planning
Introduction to community design as an interdisciplinary subject.,CRP-452,City and Regional Planning
Focus on the active involvement of end-users in the creation and management of built environments.,CRP-452,City and Regional Planning
"Principles and techniques of participatory design and planning, including charrettes, design games and participatory technologies.",CRP-452,City and Regional Planning
Demonstration of participatory techniques through case studies and application.,CRP-452,City and Regional Planning
Fundamental analysis for assessing feasibility of public and private development projects.,CRP-520,City and Regional Planning
Principles and techniques for analyzing markets and assessing cash flow for individual projects.,CRP-520,City and Regional Planning
"Economic, fiscal and tax impacts as factors determining public participation in private projects.",CRP-520,City and Regional Planning
Introduction to the understanding and the represention of the city through different analog and digital media.,CRP-216,City and Regional Planning
Theoretical and practical approaches to public policy making and contemporary policy issues such as markets; regulation; criminal justice; housing; environment; poverty; health care and education.,POLS-515,City and Regional Planning
Theory and practice of plan implementation.,CRP-525,City and Regional Planning
Regulatory and non-regulatory frameworks for plan implementation.,CRP-525,City and Regional Planning
"Growth management, development regulation, capital improvement programs, redevelopment.",CRP-525,City and Regional Planning
Application of planning theory and methods to the analysis and creation of community plans.,CRP-410,City and Regional Planning
"Interrelationships in the natural and built environments related to land use, circulation, social and other conditions.",CRP-410,City and Regional Planning
"Understanding housing issues, policies and programs from a planning perspective.",CRP-442,City and Regional Planning
"Analysis of the economic underpinnings of land markets and housing markets, housing plans, finance, public programs, affordable housing.",CRP-442,City and Regional Planning
Introduction to the use of web technologies for planning and community engagement.,CRP-456,City and Regional Planning
"Includes web publishing, mapping, surveys, video, collaboration and social media tools.",CRP-456,City and Regional Planning
"Individual or group investigation, research, studies, or surveys of selected problems.",CRP-400,City and Regional Planning
Explores changes in urban form and urban experience associated with advances in digital technology.,CRP-338,City and Regional Planning
Implications for the design of places and the distribution of economic and social benefit.,CRP-338,City and Regional Planning
"Independent research, studies, or surveys of selected subjects.",CRP-500,City and Regional Planning
Applications of basic design fundamentals and skills to the design of environments through design exercises applied to planning.,CRP-203,City and Regional Planning
Problem analysis and problem solving skills as applied to environmental design issues.,CRP-203,City and Regional Planning
Directed group study of selected topics for advanced students.,CRP-470,City and Regional Planning
"GIS applications using computer-based systems in gathering, managing and analyzing information pertinent to planning.",CRP-457,City and Regional Planning
"Development of skills in systematic data acquisition, processing and maintenance with applied planning problems within the convenient medium of GIS and general information systems.",CRP-457,City and Regional Planning
Practical applications of city and regional planning theory and practice solving problems related to the built environment.,CRP-463,City and Regional Planning
Assembly of project documents and reports that meet the senior project requirement.,CRP-463,City and Regional Planning
Focus on processes and skills of citizen participation and consensus building.,CRP-436,City and Regional Planning
Application of mediation and negotiation techniques.,CRP-436,City and Regional Planning
Use of collaboration in forming visions of the future and reaching agreements among multiple interests.,CRP-436,City and Regional Planning
Use of group process skills to establish effective communication and agreements.,CRP-436,City and Regional Planning
Organizing and operating public meetings.,CRP-436,City and Regional Planning
Basic techniques used in graphic communication for representation of the real world on two-dimensional planes.,CRP-201,City and Regional Planning
"Use of scale, drawing conventions, orthographic and isometric projections, perspective drawings.",CRP-201,City and Regional Planning
Basic design and site analysis skills.,CRP-201,City and Regional Planning
"Sketching, delineation and rendering including the use of black and white and color techniques.",CRP-201,City and Regional Planning
"Relationships of planning organizations to other governmental bodies, public agencies and citizen groups.",CRP-430,City and Regional Planning
Working in a public planning agency and private practice.,CRP-430,City and Regional Planning
Current topics in planning practice.,CRP-430,City and Regional Planning
Theories of planning.,CRP-314,City and Regional Planning
"Role of planner in society, purpose of planning, administrative framework in which planning takes place.",CRP-314,City and Regional Planning
"Alternative approaches to planning, values, ethics in planning.",CRP-314,City and Regional Planning
Work on multi-disciplinary teams to complete an integrated civil design project.,CE-466,Civil Engineering
"Focus on formal instruction, through project based learning, on selected topics in geotechnical, structural, transportation, and water resources engineering design.",CE-466,Civil Engineering
"Non-technical topics include team building, technical communications, and professional practice skills that must be mastered to become a successful design professional.",CE-466,Civil Engineering
Application of urban transportation planning and operations principles and the design of highway facilities.,CE-322,Civil Engineering
Continuation of work on multi-disciplinary teams to complete an integrated civil design project started in CE 466.,CE-467,Civil Engineering
"Focus of formal instruction on selected topics in geotechnical, structural, transportation, and water resources engineering design culminating with oral and written presentations of Senior Design projects.",CE-467,Civil Engineering
Analytical and design principles of reinforced concrete in designing civil engineering systems.,CE-355,Civil Engineering
Origin of code requirements.,CE-355,Civil Engineering
Fundamentals of proportioning.,CE-355,Civil Engineering
Details of elements and structural systems.,CE-355,Civil Engineering
"Introduction to concepts of structural engineering including ASCE7 loads, vertical and lateral load path, flexible and rigid diaphragms, determinate vs indeterminate systems, and the use of computer programs to solve structural engineering problems.",CE-352,Civil Engineering
Advanced development of argumentation and debate skills.,COMS-350,Communication Studies
Focus on preparation and presentation of intramural exhibition debates.,COMS-350,Communication Studies
Optional participation in intercollegiate debates.,COMS-350,Communication Studies
Exploration of communication research strategies and methodologies.,COMS-312,Communication Studies
Basic methods of designing research in empirical communication studies.,COMS-312,Communication Studies
Intermediate level course in the theory and practice of everyday argument.,COMS-226,Communication Studies
"Select theories of argumentation, and practical experience arguing in a wide variety of contexts.",COMS-226,Communication Studies
Theory of persuasion with particular emphasis upon social psychological principles of influence.,COMS-322,Communication Studies
"Analysis of various forms of persuasion, social influence and propaganda.",COMS-322,Communication Studies
"Poetry, prose, nonfiction and dramatic literature performed to communicate the levels of meaning within each work to the audience.",COMS-208,Communication Studies
"Research, analysis, and debating about contemporary issues.",COMS-250,Communication Studies
Theory and method used in the analysis and evaluation of rhetorical discourse.,COMS-332,Communication Studies
Study of critical essays.,COMS-332,Communication Studies
Practice in interpreting and evaluating persuasive discourse.,COMS-332,Communication Studies
Completion of approved project under faculty supervision.,COMS-461,Communication Studies
Project results are presented in a formal written report.,COMS-461,Communication Studies
"Writing creative nonfiction (the memoir, the nature essay, the personal narrative, cultural criticism, literary journalism) by adding composition skills of fictional and poetic techniques.",ENGL-386,Communication Studies
A publication workshop.,ENGL-386,Communication Studies
Early development of rhetorical theory in Greco-Roman civilization.,COMS-330,Communication Studies
Analysis of the canons of rhetoric.,COMS-330,Communication Studies
"Rhetorical thought of Sophists, Isocrates, Plato, Aristotle, Cicero and Quintilian.",COMS-330,Communication Studies
Rhetoric's role in contemporary culture.,COMS-331,Communication Studies
"Issues:  political advocacy; science, technology and mass persuasion; ethics and rhetoric.",COMS-331,Communication Studies
"Representative theorists:  Burke, Weaver, Richards, Toulmin and McLuhan.",COMS-331,Communication Studies
"Discussion and design of individual projects, oral reports on material in current professional writings.",COMS-460,Communication Studies
Completion of a project under faculty supervision.,ES-461,Comparative Ethnic Studies
Results presented in a formal paper or project.,ES-461,Comparative Ethnic Studies
The female past in the modern period of U.S.  history.,HIST-435,Comparative Ethnic Studies
Considers how transformations in gender roles are reflective of other significant changes in American culture and society.,HIST-435,Comparative Ethnic Studies
"Emphasis on class, race, and ethnic variations in women's experience.",HIST-435,Comparative Ethnic Studies
The female past in the modern period of U.S.  history.,WGS-435,Comparative Ethnic Studies
Considers how transformations in gender roles are reflective of other significant changes in American culture and society.,WGS-435,Comparative Ethnic Studies
"Emphasis on class, race, and ethnic variations in women's experience.",WGS-435,Comparative Ethnic Studies
Investigation of China's political history with close attention to past and present U.S.-China relations.,POLS-337,Comparative Ethnic Studies
"Topics include the conflict over Taiwan, territorial disputes in the South China Sea, and ongoing economic cooperation and competition, concerning trade and debt.",POLS-337,Comparative Ethnic Studies
Supervised project based on fieldwork in comparative ethnic studies.,ES-450,Comparative Ethnic Studies
Historical influences and theoretical assumptions behind U.S.  foreign policy.,POLS-420,Comparative Ethnic Studies
"Examination of American power and influence, examining key concepts from public opinion, business interests, executive privilege, diplomacy, propaganda, trade, and military strategies.",POLS-420,Comparative Ethnic Studies
"Introduction to social, political, economic, legal, and cultural traditions of Chicanas/os and Latinas/os in the U.S. Special attention to the interlocking systems of race, class, gender, and sexuality.",ES-255,Comparative Ethnic Studies
History of African-Americans from the Civil War to the present.,HIST-406,Comparative Ethnic Studies
"Reconstruction, racial segregation, the Harlem Renaissance, the Great Migration, the Civil Rights Movement, Black Feminism and Black Power.",HIST-406,Comparative Ethnic Studies
"The multiple and conflicting ways in which various Americans (defined in terms of race, class and gender) have struggled to formulate and promote their own understandings of freedom and equality, from the pre-conquest era to the present.",HIST-207,Comparative Ethnic Studies
"The multiple and conflicting ways in which various Americans (defined in terms of race, class and gender) have struggled to formulate and promote their own understandings of freedom and equality, from the pre-conquest era to the present.",HNRS-207,Comparative Ethnic Studies
Historiographical and chronological survey since European contact.,HIST-433,Comparative Ethnic Studies
"Emphasis on the frontier and borderlands concepts, Native America, the Hispanic Southwest, US expansion and conquest, industrial capitalism, inter-societal and transnational economies, immigration, public memory, and racial identity formation.",HIST-433,Comparative Ethnic Studies
"Introduction to social, political, economic, legal, and cultural traditions of Asian Americans in the U.S. Special attention to the interlocking systems of race, class, gender, and sexuality.",ES-256,Comparative Ethnic Studies
"Introduction to social, political, economic, legal, and cultural traditions of African Americans in the U.S. Special attention to the interlocking systems of race, class, gender, and sexuality.",ES-254,Comparative Ethnic Studies
"Introduction to social, political, economic, legal, and cultural traditions of American Indians in the U.S. Special attention to the interlocking systems of race, class, gender, and sexuality.",ES-253,Comparative Ethnic Studies
"Political conflicts surrounding the trading, financial, and security structures of the international economy.",POLS-427,Comparative Ethnic Studies
"Motivations, resources, and responses of states, international organizations, multinational corporations and other nonstate actors as they address economic, political, environmental, and security issues within these structures.",POLS-427,Comparative Ethnic Studies
Desirability and inevitability of globalization.,POLS-427,Comparative Ethnic Studies
Female ideology and experience from the colonial period through the American Civil War.,HIST-434,Comparative Ethnic Studies
"Use of a variety of sources, including women's own writing, in order to understand the history of women as it both reflects and shapes American culture and society.",HIST-434,Comparative Ethnic Studies
Female ideology and experience from the colonial period through the American Civil War.,WGS-434,Comparative Ethnic Studies
"Use of a variety of sources, including women's own writing, in order to understand the history of women as it both reflects and shapes American culture and society.",WGS-434,Comparative Ethnic Studies
"Survey of Jazz as a significant American art form from 1900 to the present; its historical background and development in the United States; key elements, leading performers, and significant compositions in each style.",MU-221,Comparative Ethnic Studies
Emphasis on listening skills.,MU-221,Comparative Ethnic Studies
Development of knowledge and skills needed to conduct original action-oriented ethnographic research.,ISLA-393,Comparative Ethnic Studies
"Grounded in the reflexive 'turn' in anthropology and critical race, science, technology and society, queer and feminist studies, students will engage questions of authority, representation, critical consciousness and justice.",ISLA-393,Comparative Ethnic Studies
Theory and practice of research methodology in comparative ethnic studies.,ES-390,Comparative Ethnic Studies
"Topics include the scientific method, qualitative and quantitative methodologies, and ethical practices.",ES-390,Comparative Ethnic Studies
"Research report prepared from start to finish, including database searching, collecting pilot data, and proper formatting of a research report.",ES-390,Comparative Ethnic Studies
Issues of race in research practice and use foregrounded throughout.,ES-390,Comparative Ethnic Studies
"Explores wide spectrum of rock, folk and pop styles of the 60s.",MU-229,Comparative Ethnic Studies
"Relates music to social turmoil and historical trends, including Vietnam War, Civil Rights Movement, American Indian Movement, Chicano Movement, Free Speech Movement.",MU-229,Comparative Ethnic Studies
"History of African Americans from the colonial period to the Civil War, roughly 1619-1865.",HIST-405,Comparative Ethnic Studies
"The slave trade, slavery in the colonies, plantation slavery, the Black West, and free Black culture and institutions.",HIST-405,Comparative Ethnic Studies
History of global social movements from the late nineteenth century to the present.,HIST-216,Comparative Ethnic Studies
"May include, but not limited to: socialism, nationalism, feminism, fascism and communism, pacifism, life reform, gay liberation, indigenous peoples' movements, and environmentalism.",HIST-216,Comparative Ethnic Studies
Includes a service learning component.,HIST-216,Comparative Ethnic Studies
History of global social movements from the late nineteenth century to the present.,HNRS-216,Comparative Ethnic Studies
"May include, but not limited to: socialism, nationalism, feminism, fascism and communism, pacifism, life reform, gay liberation, indigenous peoples' movements, and environmentalism.",HNRS-216,Comparative Ethnic Studies
Includes a service learning component.,HNRS-216,Comparative Ethnic Studies
"The social, cultural, constitutional, and political history of African American, Asian American, Native American, European American, and Latino/a men and women.",HIST-206,Comparative Ethnic Studies
"Definition and specification of a system to be constructed in CPE 450; requirements elicitation techniques, research and data gathering methods; project planning, time and budget estimating; project team organization.",CPE-350,Computer Engineering
Ethics and professionalism.,CPE-350,Computer Engineering
Selection and completion of an individual or team project.,CPE-461,Computer Engineering
Project results are presented in a formal report.,CPE-461,Computer Engineering
"Team-based design, construction and deployment of an embedded system that includes a custom-built computer.",CPE-450,Computer Engineering
Technical management of product development teams.,CPE-450,Computer Engineering
"Technical documentation, configuration management, quality assurance, integration and systems testing.",CPE-450,Computer Engineering
Professionalism.,CPE-450,Computer Engineering
Introduction to the computer engineering discipline.,CPE-100,Computer Engineering
Success skills and curricular information.,CPE-100,Computer Engineering
Career paths and opportunities.,CPE-100,Computer Engineering
Professional aspects of engineering and computer science.,CPE-100,Computer Engineering
"Interaction with upper division students, alumni, faculty and staff.",CPE-100,Computer Engineering
Introduction to computer software and hardware.,CPE-100,Computer Engineering
"Signal and system description and analysis, with emphasis on discrete-time signals and linear time-invariant (LTI) systems.",CPE-327,Computer Engineering
Sampling theorem.,CPE-327,Computer Engineering
"Frequency spectrum, Convolution and its application to LTI systems.",CPE-327,Computer Engineering
"The z transform, discrete-time Fourier transform, and discrete Fourier transform.",CPE-327,Computer Engineering
Introduction to digital filters.,CPE-327,Computer Engineering
Selection and completion of an individual or team project.,CPE-462,Computer Engineering
Project results are presented in a formal report.,CPE-462,Computer Engineering
An introduction to hardware security from embedded systems to secure VHDL design.,CPE-426,Computer Science
"Topics may include digital rights management, hardware based trojans, hardware implementation of cryptography, sidechannel attacks, secure communication protocols, hardware based overflow detection, physical device verification, and physically unclonable functions.",CPE-426,Computer Science
Influence of video games on individuals and society.,COMS-404,Computer Science
"Emphasis on why people play video games, how games influence players, and broader cultural impacts of gaming.",COMS-404,Computer Science
"Examines franchises, characters, gamers, avatars, gamification, and digital interactions.",COMS-404,Computer Science
Definition and specification of a team-based creative collaboration on a digital interactive art project (e.g.,CSC-350,Computer Science
"animation, video game, interactive media display, etc).",CSC-350,Computer Science
"Research and techniques, project planning and project team organization, prototype creation.",CSC-350,Computer Science
Selection and completion of a project by individuals or team which is typical of problems which graduates must solve in their fields of employment.,CSC-491,Computer Science
Project may include students from other disciplines.,CSC-491,Computer Science
"Formulation of outline, literature review, and project schedule.",CSC-491,Computer Science
Selection and completion of a project by individuals or team which is typical of problems which graduates must solve in their fields of employment.,CSC-492,Computer Science
Project may include students from other disciplines.,CSC-492,Computer Science
Project results are presented in a formal report.,CSC-492,Computer Science
The intimate connection between the desire for artistic expression and current technologies that can assist that expression.,ISLA-240,Computer Science
"Examination of technologies for theater, sound, cinema, gaming, and embodied media.",ISLA-240,Computer Science
Guest speakers with expertise.,ISLA-240,Computer Science
"Introduction to network security, including denial of service, botnets, access control, routing attacks, transport layer attacks, tunneling mechanisms, VPNs, IDS, firewalls, penetration testing, key distribution, email security, jamming, and wireless security.",CPE-422,Computer Science
"Team-based design, construction and deployment of a collaborative interactive computational art project typically found in the fields of animation, game design, and interactive media.",CSC-450,Computer Science
"Management of inter-disciplinary teams, documentation, creative development, testing, and assessment.",CSC-450,Computer Science
"Addresses the relationships, roles, and perspectives of all stakeholders.",CM-413,Construction Management
Integrated utilization of temporary structures associated with field construction.,CM-413,Construction Management
Full-time work experience in an area directly related to the construction industry for 3 months.,CM-485,Construction Management
Positions are paid and usually require relocation and registration in course for one quarter.,CM-485,Construction Management
See department for additional requirements.,CM-485,Construction Management
Service and project-based learning and teaching techniques as applied to a variety of construction management concepts.,CM-420,Construction Management
"Goals and objectives achieved through service-learning, project-based, and/or experiential pedagogical approaches.",CM-420,Construction Management
Interdisciplinary analysis of sustainable strategies and technologies to enhance the built environment.,CM-317,Construction Management
"A systems approach to green building science that includes sustainable site development, water use efficiency, renewable energy, improving material use, indoor environmental quality, and design innovation.",CM-317,Construction Management
Emerging trends related to construction management concepts and practices.,CM-421,Construction Management
"Goals and objectives achieved through analysis, study, and research of a particular construction emerging trend.",CM-421,Construction Management
"Fundamentals of construction accounting principles to include income recognition, job cost control, cash flow analysis and associated cost reports.",CM-335,Construction Management
"Evaluation of roles and relationships of owner, designer, and construction professionals over project life cycles.",CM-450,Construction Management
"Modeling, conceptual estimating, lean scheduling, contract selection, integrated delivery, design management, program management, and influential leadership strategies and techniques.",CM-450,Construction Management
"Materials, methods, and techniques associated with large commercial and institutional construction operations.",CM-313,Construction Management
"Topics include building systems analysis of foundations, waterproofing, structural framing, exterior cladding, and finishes.",CM-313,Construction Management
"Scheduling, estimating, and construction contracts are integrated into a project based approach.",CM-313,Construction Management
Selection and completion of a comprehensive project under faculty supervision.,CM-461,Construction Management
Problems to involve the student's technical and creative skills.,CM-461,Construction Management
Student proposal must be submitted and approved by project advisor prior to registration for course.,CM-461,Construction Management
Construction and team projects encouraged.,CM-461,Construction Management
"Materials, methods, and techniques associated with residential and light commercial construction operations.",CM-214,Construction Management
"Topics include shallow foundations, timber and masonry framing, roofing, and exterior and interior finishes.",CM-214,Construction Management
"Scheduling, estimating, and construction contracts are integrated into a project based approach.",CM-214,Construction Management
Technology related to construction management education and the construction industry.,CM-424,Construction Management
"Goals and objectives achieved through analysis, study, and research of a particular construction technology.",CM-424,Construction Management
Applications of strategic management techniques and business strategy for managing and long-range planning of the construction firm.,CM-443,Construction Management
"Introduction to the fundamental concepts and overview of the essential elements associated with the construction profession, to include: construction trends, ethics, safety and health issues, and professional practice methods.",CM-102,Construction Management
Various materials and assemblies related to construction process.,CM-423,Construction Management
"Goals and objectives achieved through analysis, study, and research of a particular construction material and/or assembly.",CM-423,Construction Management
"Introduction to senior project processes, timelines, requirements, and best practices including topic selection, literature review, methodology, and paper formatting.",CM-460,Construction Management
Selection and completion of a comprehensive project under faculty supervision.,CM-462,Construction Management
Problems to involve the student's technical and creative skills.,CM-462,Construction Management
Student proposal must be submitted and approved by project advisor prior to registration for course.,CM-462,Construction Management
Construction and team projects encouraged.,CM-462,Construction Management
"An overview of the social, economic, environmental and cultural impacts of housing on communities and nations.",CM-318,Construction Management
Students are presented with varied perspectives to understand the different facets of housing and their impacts on the human experience.,CM-318,Construction Management
Sustainable and environmental issues related to the construction industry.,CM-425,Construction Management
Goals and objectives achieved through analysis of a particular construction related sustainable and/or environmental issue.,CM-425,Construction Management
"Materials, methods, and techniques associated with mechanical, electrical, and plumbing systems.",CM-411,Construction Management
"Topics include heating, ventilating, air conditioning, power distribution, grounding, lighting, communication, fire detection/protection, and plumbing.",CM-411,Construction Management
"Integration of scheduling, estimating, and construction subcontracts with a project based approach.",CM-411,Construction Management
Nutrient metabolism and diet formulation technologies for all classes of dairy cattle; whole-farm feed management; physiological and nutritional aspects of predominant metabolic disorders; on-farm auditing and troubleshooting of nutritional management.,DSCI-410,Dairy Science
"National and state dairy promotional programs, advertising and merchandising.",DSCI-202,Dairy Science
Marketing and pricing of milk and dairy products at the state and national level.,DSCI-202,Dairy Science
Dairy herd management skills needed in dairy operations.,DSCI-432,Dairy Science
"Instruction and lab experience in management, records, labor, waste management, and milking management.",DSCI-432,Dairy Science
"Evaluation of inherited characteristics in dairy cattle, including principles of inheritance and genomic evaluations.",DSCI-422,Dairy Science
"Proving and selecting sires and dams, dairy genetic evaluations.",DSCI-422,Dairy Science
"Dairy farm biosecurity, animal handling and welfare, equipment operation, employee safety and hazard analysis.",DSCI-102,Dairy Science
"Instruction in standard operating procedures (SOP) relevant to milking, transition cow and calf management and cattle identification.",DSCI-102,Dairy Science
Composition and properties of fluid milk and its constituents.,DSCI-233,Dairy Science
"Equipment used to handle, process, and distribute fluid milk and related products.",DSCI-233,Dairy Science
"California dairy codes used for dairy farms and plants, with practice inspections of dairy farms and factories.",DSCI-233,Dairy Science
Theory and practice of the development of economic analysis.,ECON-460,Economics
Steps in the formulation and execution of an economics research project.,ECON-460,Economics
Selection and analysis of a problem under faculty supervision.,ECON-461,Economics
Problems typical of those which graduates must solve in their fields of employment.,ECON-461,Economics
Selection and analysis of a problem under faculty supervision.,ECON-462,Economics
Problems typical of those which graduates must solve in their fields of employment.,ECON-462,Economics
Design of modern wireline and wireless electronic communication and telemetry systems.,EE-415,Electrical Engineering
Emphasis:  practical implementation and comparative evaluation of various communication systems.,EE-415,Electrical Engineering
"Approach to the design and analysis of optical systems using linear communication theory, including Fourier analysis.",EE-530,Electrical Engineering
"Analysis of two-dimensional signals and systems, foundations of scalar diffraction theory.",EE-530,Electrical Engineering
Fresnel and Fraunhofer diffraction.,EE-530,Electrical Engineering
Directed group study of selected topics for advanced students.,EE-570,Electrical Engineering
Open to graduate students and selected seniors with electrical and electronic engineering background.,EE-570,Electrical Engineering
Experimental measurement in waveguide and microstrip circuits employing the advanced Network Analyzer.,EE-541,Electrical Engineering
Design of both passive and active microwave circuits using microstrip.,EE-541,Electrical Engineering
Graphical and analytical design techniques as well as the use of computer-aided design codes.,EE-541,Electrical Engineering
"Application of linear integrated circuits to data acquisition problems:  transducer interfacing, linear and nonlinear preprocessing, phase-locked loops, and high performance quantization and recovery (A/D, D/A conversion).",EE-412,Electrical Engineering
Experimental investigation employing advanced techniques.,EE-445,Electrical Engineering
"Design of high-frequency electronic amplifiers utilizing S-parameters of bipolar transistors, network analyzers, and computer simulation techniques.",EE-445,Electrical Engineering
"Emphasis on device theory of operation, fabrication techniques and circuit principles of active microwave solid-state devices, their noise aspects and systems applications.",EE-529,Electrical Engineering
"Advanced design of electronic circuits and subsystems, including sustainability and design as a process.",EE-413,Electrical Engineering
Automated testing with GPIB instruments.,EE-413,Electrical Engineering
"Implementation of specific design projects, including team-based projects.",EE-413,Electrical Engineering
"Characterization, testing and documentation of custom-fabricated Very Large Scale Integrated (VLSI) circuits.",CPE-532,Electrical Engineering
Use of specialized test equipment.,CPE-532,Electrical Engineering
"Characterization, testing and documentation of custom-fabricated Very Large Scale Integrated (VLSI) circuits.",EE-532,Electrical Engineering
Use of specialized test equipment.,EE-532,Electrical Engineering
"Acoustics, sound production, and transducer design in the context of stringed musical instruments.",CPE-447,Electrical Engineering
"Introduces music theory, scales and temperament, sound radiation, structural dynamics of stringed instruments.",CPE-447,Electrical Engineering
"Integrates engineering topics including frequency spectrum analysis, electromagnetics, properties of materials, digital and analog circuit design.",CPE-447,Electrical Engineering
"Acoustics, sound production, and transducer design in the context of stringed musical instruments.",EE-447,Electrical Engineering
"Introduces music theory, scales and temperament, sound radiation, structural dynamics of stringed instruments.",EE-447,Electrical Engineering
"Integrates engineering topics including frequency spectrum analysis, electromagnetics, properties of materials, digital and analog circuit design.",EE-447,Electrical Engineering
Maxwell's equations and plane wave propagation in materials.,EE-402,Electrical Engineering
Reflection and transmission of normal and oblique incidence plane waves at planar boundaries between different media.,EE-402,Electrical Engineering
Wave guides.,EE-402,Electrical Engineering
Antennas.,EE-402,Electrical Engineering
Physical theory of solid-state devices.,EE-524,Electrical Engineering
Properties of metal-semiconductor junctions and p-n junctions.,EE-524,Electrical Engineering
"Derivation of properties of diodes, transistors, and four-layer devices from basic physical and mathematical considerations.",EE-524,Electrical Engineering
Solar radiation and insolation variability.,EE-520,Electrical Engineering
Solar cell theory.,EE-520,Electrical Engineering
Photovoltaic module and array design.,EE-520,Electrical Engineering
Interfacing PV generators with various kinds of loads.,EE-520,Electrical Engineering
Power processing circuits and systems.,EE-520,Electrical Engineering
Energy storage options.,EE-520,Electrical Engineering
